TaxiID,latitude,longitude,occupancy,time
abboip,37.75153,-122.39447,0,1211033530
abboip,37.75149,-122.39447,0,1211033614
abboip,37.75149,-122.39447,0,1211033674
abboip,37.75149,-122.39446,0,1211033735
abboip,37.75144,-122.39449,0,1211035303
abboip,37.75151,-122.39453,0,1211035374
abboip,37.75137,-122.39502,0,1211035434
abboip,37.75139,-122.39498,0,1211035489
abboip,37.7514,-122.39495,0,1211035549
abboip,37.7514,-122.39496,0,1211035610
abboip,37.75141,-122.39497,0,1211035670
abboip,37.7514,-122.39496,0,1211035732
abboip,37.75067,-122.39533,0,1211035796
abboip,37.74978,-122.39709,0,1211035844
abboip,37.74977,-122.39724,1,1211035870
abboip,37.74896,-122.40619,1,1211035931
abboip,37.74831,-122.41335,1,1211036022
abboip,37.75157,-122.414,1,1211036082
abboip,37.75552,-122.41438,1,1211036158
abboip,37.7558,-122.41441,0,1211036160
abboip,37.76172,-122.41496,0,1211036230
abboip,37.76523,-122.41529,0,1211036280
abboip,37.76511,-122.41935,0,1211036344
abboip,37.76342,-122.41992,0,1211036401
abboip,37.76086,-122.41933,0,1211036466
abboip,37.75702,-122.41898,0,1211036520
abboip,37.7527,-122.41858,0,1211036568
abboip,37.75212,-122.42082,0,1211036629
abboip,37.75223,-122.42231,0,1211036687
abboip,37.75221,-122.4223,0,1211036746
abboip,37.75221,-122.42231,0,1211036806
abboip,37.75221,-122.42231,0,1211036854
abboip,37.75169,-122.42291,0,1211036919
abboip,37.75042,-122.4221,0,1211036975
abboip,37.7505,-122.42086,0,1211037022
abboip,37.7506,-122.42088,0,1211037083
abboip,37.75054,-122.42087,0,1211037165
abboip,37.7505,-122.42086,0,1211037223
abboip,37.75066,-122.42087,0,1211037283
abboip,37.75054,-122.42085,0,1211037345
abboip,37.75052,-122.42085,0,1211037411
abboip,37.75053,-122.42086,0,1211037475
abboip,37.75053,-122.42086,1,1211037486
abboip,37.75086,-122.42154,1,1211037539
abboip,37.75206,-122.42259,1,1211037563
abboip,37.75176,-122.42712,1,1211037618
abboip,37.75158,-122.43101,1,1211037705
abboip,37.75177,-122.43095,1,1211037708
abboip,37.75177,-122.43095,0,1211037710
abboip,37.75153,-122.43114,0,1211037776
abboip,37.75147,-122.43172,0,1211037780
abboip,37.75125,-122.42963,0,1211037841
abboip,37.75178,-122.42671,0,1211037901
abboip,37.75213,-122.42098,0,1211037962
abboip,37.75064,-122.4204,0,1211038021
abboip,37.75073,-122.4176,0,1211038086
abboip,37.75088,-122.41402,0,1211038141
abboip,37.74833,-122.41486,0,1211038202
abboip,37.74893,-122.41811,0,1211038261
abboip,37.75383,-122.41859,0,1211038324
abboip,37.75883,-122.41904,0,1211038382
abboip,37.76259,-122.41945,0,1211038442
abboip,37.76501,-122.41972,0,1211038502
abboip,37.76663,-122.41982,0,1211038564
abboip,37.76999,-122.42001,0,1211038605
abboip,37.77145,-122.41967,0,1211038668
abboip,37.77219,-122.41853,0,1211038725
abboip,37.77175,-122.41835,0,1211038752
abboip,37.77175,-122.41844,0,1211038812
abboip,37.77153,-122.4184,0,1211038873
abboip,37.77156,-122.41849,0,1211038933
abboip,37.77181,-122.41836,0,1211038995
abboip,37.77173,-122.41838,1,1211039031
abboip,37.77156,-122.41834,1,1211039091
abboip,37.77188,-122.41825,1,1211039151
abboip,37.77181,-122.41833,0,1211039166
abboip,37.77181,-122.41833,1,1211039168
abboip,37.77021,-122.41784,1,1211039228
abboip,37.76163,-122.4062,1,1211039350
abboip,37.74817,-122.40419,1,1211039401
abboip,37.73494,-122.4067,1,1211039461
abboip,37.72219,-122.40072,1,1211039498
abboip,37.70913,-122.39521,1,1211039550
abboip,37.69591,-122.39228,1,1211039594
abboip,37.68265,-122.38929,1,1211039634
abboip,37.66953,-122.39309,1,1211039680
abboip,37.6598,-122.4047,1,1211039731
abboip,37.64637,-122.40658,1,1211039778
abboip,37.63317,-122.40364,1,1211039841
abboip,37.6201,-122.40016,1,1211039883
abboip,37.6148,-122.39173,1,1211039944
abboip,37.61626,-122.38413,1,1211040004
abboip,37.61788,-122.38709,1,1211040064
abboip,37.61766,-122.38739,1,1211040106
abboip,37.61765,-122.38738,1,1211040166
abboip,37.61736,-122.38765,0,1211040178
abboip,37.61429,-122.39562,0,1211040242
abboip,37.62679,-122.40182,0,1211040302
abboip,37.63989,-122.40543,0,1211040354
abboip,37.65339,-122.40696,0,1211040402
