TripID,Start_time_trip,Start_Time_initial,Stop_Time,Waiting_Distance,TaxiID,Total_Distance,latitude,longitude,Dayhour,Dayofweek,Month,Waiting_Time,Total_Time
118376,2008-06-08T08:09:39.000+0000,2008-06-08T07:28:32.000+0000,2008-06-08T08:16:37.000+0000,2.5849160844485363,135,6.270629265202959,37.7919052631579,-122.39996578947365,8,6,6,2467,2885
118377,2008-06-08T08:24:34.000+0000,2008-06-08T08:16:47.000+0000,2008-06-08T08:31:17.000+0000,3.0330575956180023,135,9.616260011054061,37.80126874999999,-122.3950125,8,6,6,467,870
118378,2008-06-08T08:48:35.000+0000,2008-06-08T08:32:13.000+0000,2008-06-08T08:54:26.000+0000,6.701051473646298,135,8.562742921770144,37.7949,-122.39233913043476,8,6,6,982,1333
118398,2008-06-08T21:29:54.000+0000,2008-06-08T21:27:55.000+0000,2008-06-08T21:37:45.000+0000,0.02484128181073257,135,2.378152555152454,37.788250000000005,-122.39606,21,6,6,119,590
118461,2008-05-18T01:38:42.000+0000,2008-05-18T01:22:04.000+0000,2008-05-18T01:43:42.000+0000,2.5097115648283052,136,4.443405672001418,37.79045,-122.39695499999997,1,6,5,998,1298
118499,2008-05-18T18:31:48.000+0000,2008-05-18T18:29:23.000+0000,2008-05-18T18:48:47.000+0000,0.0221572003995827,136,3.6950934410629767,37.793594444444444,-122.39933333333334,18,6,5,145,1164
118640,2008-05-21T15:15:04.000+0000,2008-05-21T15:07:44.000+0000,2008-05-21T15:19:53.000+0000,0.9297744085389548,136,2.020771459835777,37.79151538461538,-122.3991153846154,15,2,5,440,729
118660,2008-05-22T00:32:56.000+0000,2008-05-22T00:31:31.000+0000,2008-05-22T00:38:07.000+0000,0,136,2.0633383321653102,37.79345714285714,-122.39637142857143,0,3,5,85,396
118745,2008-05-24T02:19:52.000+0000,2008-05-24T02:10:15.000+0000,2008-05-24T02:28:32.000+0000,0.9181160337269717,136,3.4505705462044114,37.7903,-122.39621578947366,2,5,5,577,1097
118856,2008-05-26T22:03:46.000+0000,2008-05-26T18:28:43.000+0000,2008-05-26T22:07:29.000+0000,13.437172217337334,136,15.477016358066116,37.782609090909105,-122.39675757575759,22,0,5,12903,13126
118861,2008-05-26T23:26:53.000+0000,2008-05-26T23:26:48.000+0000,2008-05-26T23:28:49.000+0000,0,136,1.2914640103664973,37.7947,-122.3933,23,0,5,5,121
118916,2008-05-28T15:06:43.000+0000,2008-05-28T15:01:57.000+0000,2008-05-28T15:12:12.000+0000,0.042520491140215534,136,1.6440371818449395,37.780454545454546,-122.39829090909092,15,2,5,286,615
118930,2008-05-28T23:27:28.000+0000,2008-05-28T23:20:15.000+0000,2008-05-28T23:40:34.000+0000,2.4852423453483454,136,5.284441023048691,37.78593181818181,-122.39519999999994,23,2,5,433,1219
118967,2008-05-29T23:55:59.000+0000,2008-05-29T23:52:58.000+0000,2008-05-30T00:03:13.000+0000,1.0320340560909553,136,2.885023584359075,37.78775454545455,-122.39864545454544,0,4,5,181,615
118979,2008-05-30T03:22:48.000+0000,2008-05-30T03:18:52.000+0000,2008-05-30T03:30:53.000+0000,1.023802956904006,136,3.8290119930839425,37.78157692307692,-122.39618461538461,3,4,5,236,721
119002,2008-05-30T16:49:07.000+0000,2008-05-30T16:45:52.000+0000,2008-05-30T16:52:09.000+0000,0.86803854553753,136,1.8749265244453798,37.79441428571429,-122.39835714285713,16,4,5,195,377
119005,2008-05-30T17:44:53.000+0000,2008-05-30T17:43:02.000+0000,2008-05-30T17:49:27.000+0000,0.07100844906345457,136,1.4578058311843587,37.7937625,-122.39752499999999,17,4,5,111,385
119157,2008-06-03T03:16:32.000+0000,2008-06-03T03:05:22.000+0000,2008-06-03T03:25:49.000+0000,0.7251704863257938,136,3.330575919821623,37.78875238095238,-122.39982857142857,3,1,6,670,1227
119257,2008-06-06T01:15:40.000+0000,2008-06-06T01:10:41.000+0000,2008-06-06T01:18:40.000+0000,0.24328905137788645,136,1.444497017044597,37.797225,-122.398275,1,4,6,299,479
119321,2008-06-07T16:07:38.000+0000,2008-06-07T15:44:54.000+0000,2008-06-07T16:12:39.000+0000,1.3424001018334363,136,2.71087252622861,37.79448260869565,-122.39717826086956,16,5,6,1364,1665
119338,2008-06-07T23:02:11.000+0000,2008-06-07T22:57:00.000+0000,2008-06-07T23:14:36.000+0000,1.2210438227259155,136,4.336265841796958,37.786494999999995,-122.39751999999998,23,5,6,311,1056
119351,2008-06-08T05:09:45.000+0000,2008-06-08T05:07:08.000+0000,2008-06-08T05:16:18.000+0000,0.5429567756347571,136,2.5636063065364385,37.78515,-122.39848333333333,5,6,6,157,550
119359,2008-06-08T06:51:38.000+0000,2008-06-08T06:42:53.000+0000,2008-06-08T06:56:40.000+0000,1.755645413134428,136,3.8608530698054233,37.785590000000006,-122.39693,6,6,6,525,827
119374,2008-06-08T14:36:17.000+0000,2008-06-08T10:15:26.000+0000,2008-06-08T14:42:20.000+0000,14.732481560881504,136,16.60482787857962,37.78353571428573,-122.39771020408165,14,6,6,15651,16014
119377,2008-06-08T16:29:56.000+0000,2008-06-08T16:06:33.000+0000,2008-06-08T16:36:38.000+0000,4.255466756432335,136,6.514620032005394,37.79552580645162,-122.39951935483871,16,6,6,1403,1805
119385,2008-06-08T20:10:22.000+0000,2008-06-08T20:05:30.000+0000,2008-06-08T20:15:10.000+0000,1.6786692033395887,136,3.417537324659088,37.78712727272727,-122.39839090909093,20,6,6,292,580
119395,2008-06-09T02:08:14.000+0000,2008-06-09T02:05:36.000+0000,2008-06-09T02:15:15.000+0000,0.2366634561348172,136,2.519547482687447,37.78505,-122.39649,2,0,6,158,579
119396,2008-06-09T02:17:34.000+0000,2008-06-09T02:16:27.000+0000,2008-06-09T02:21:37.000+0000,0,136,2.136430710150845,37.78303333333333,-122.39858333333332,2,0,6,67,310
119445,2008-05-17T21:02:30.000+0000,2008-05-17T21:01:48.000+0000,2008-05-17T21:04:49.000+0000,0,137,1.074188090542384,37.77986,-122.39642,21,5,5,42,181
119488,2008-05-19T01:58:50.000+0000,2008-05-19T01:50:30.000+0000,2008-05-19T02:02:22.000+0000,0.1162589390618515,137,1.5846205882568262,37.778533333333335,-122.39607500000001,2,0,5,500,712
119489,2008-05-19T02:08:42.000+0000,2008-05-19T02:02:23.000+0000,2008-05-19T02:13:18.000+0000,1.6648059730070332,137,3.233130443325767,37.79083333333333,-122.39998333333334,2,0,5,379,655
119528,2008-05-19T14:49:41.000+0000,2008-05-19T14:42:34.000+0000,2008-05-19T14:52:25.000+0000,1.4059769225524672,137,2.1077088850217422,37.79406923076923,-122.3993846153846,14,0,5,427,591
119654,2008-05-23T00:53:45.000+0000,2008-05-23T00:42:27.000+0000,2008-05-23T01:03:47.000+0000,3.6756203579359505,137,5.204796944336876,37.77901578947369,-122.39916842105262,1,4,5,678,1280
